"ID","Amount","BookName","Authors","Supporter","Publisher","Year","ISBN","ClassificationNumber","Tags"
,,"為什麼孩子要上學","大江健三郎",,"時報文化",2002,"957-13-3726-9",861.6,
,,"山中","馬努葉爾‧馬爾索、卡門‧奇卡(Manuel Marsol、Carmen Chica)",,"大塊文化出版",2019,"978-986-213-950-9",,
,,"森林裡的橡樹","高森登志夫",,"步步出版",2018,"978-986-96286-2-4",,
,,"手繪植物風橡皮章應用圖帖","HUTTE",,"新手作出版",2019,"978-986-97138-3-2",964,"工藝美術,勞作"
,,"藤田村的故事","賴信真",,"農委會林務局嘉管處",2016,"978-986-05-1116-1",541.27,"阿里山林業博物館,文化資產保存,歷史,嘉義市"
,,"台灣山林百年紀","李根政",,"天下雜誌",2018,"978-986-398-400-9",436.0933,"林業,臺灣,歷史"
,,"我聽見群山報戰功","乜寇‧索克魯曼",,"遠景",2015,"978-957-39-0972-9",863.851,
,,"聲音的奇妙旅程","崔弗‧考克斯(Trevor Cox)",,"馬可孛羅文化出版",2018,"978-957-8759-44-2",334,"聲音"
,,"森林","馬可‧馬汀(Marc Martin)",,"時報文化出版",2018,"978-957-1372-61-7",,
,,"桃色之夢：太平山百年自然發現史","吳永華",,"農委會林務局羅東林區管理處",2014,"978-986-04-2176-7",733.33103017115,"自然史,自然地理,太平山"
,,"研之有物－穿越古今！中研院的25堂人文公開課",,,"寶瓶文化",2018,"978-986-406-124-2",119.07,"人文學,社會科學,文集"
,,"lalingedan ni vuvu：祖父的鼻笛","杜寒菘",,"雙豬工作室",2018,"978-986-90182-2-7",836.859,
,,"哇比與莎比","幸佳慧、黃郁軒",,"遠見天下文化",2012,"978-986-479-608-3",,
,,"素食者","韓江",,"漫遊者文化",2016,"978-986-5671-92-1",862.57,
,,"獻燈使","多和田葉子",,"瑞蘭國際",2017,"978-986-94344-2-3",861.56,
,,"解碼台灣史1550-1720","翁佳音;黃驗",,"遠流",2017,"978-957-32-8033-0",733.24,"臺灣史,臺灣開發史"
,,"守護海洋的人魚"," 珍妮弗．伯恩(Jennifer Berne)",,"維京",2019,"9789864401734","-",
,,"拉拉庫斯回憶：我的父親高一生與那段歲月 高英傑",,,"玉山社",2019,"9789862942031",783.3886,"高一生,回憶錄"
,,"旅的水彩繪詩：彩繪旅途的花‧草‧巷‧弄"," あべまりえ (譯者：洪鈺惠)",,"良品文化",2017,"9789865724993",948.4,"水彩畫,繪畫技法"
,,"舌尖上的東協─東南亞美食與蔬果植物誌"," 胖胖樹 王瑞閔",,"麥浩斯",2019,"9789864084593",463.48,"香料,飲食風俗,東南亞"
,,"與十九世紀傑出女性科學探險家相遇：因為她們，世界變得更好"," 張文亮",,"字畝文化",2019,"9789578423770",309.9,"科學家,女性傳記,通俗作品"
,,"鱷魚的一天"," 喬凡娜・佐波莉(Giovanna Zoboli)",,"大塊文化",2019,"9789862139745","-",
,,"讓孩子們吃土：拯救你的孩子，遠離過度消毒殺菌的環境","B．布雷特．芬雷、瑪莉克萊兒;阿里耶塔(B．Brett Finlay and Marie-Claire Arrieta)",,"一中心有限公司",2018,"9789869605540",369,"微生物學"
,,"福爾摩沙‧美麗之島"," 愛麗絲．約瑟芬．包蘭亭．柯潔索夫; 哈利．阿佛森．法蘭克",,"遠足文化",2018,"9789578630932",733.21,"臺灣史,臺灣遊記"
,,"繪圖解說 樹木的知識"," 堀大才",,"晨星",2017,"9789864432134",436.1111,"樹木"
,,"撒奇萊雅族神話與傳說及火神祭","田哲益(達西烏拉彎．畢馬)",,"晨星",2019,"9789864438778",539.5339,
,,"在大自然裡找玩具：一起來玩100種花草遊戲！野餐‧露營‧近郊散步，動手玩自然"," 小林正明",,"麥浩斯",2018,"9789864084005",996,"兒童遊戲,植物"
,,"台灣原生植物全圖鑑第八卷（上）：蕨類與石松類　石松科－－烏毛蕨科"," 許天銓;陳正為;Ralf Knapp;洪信介 ",,"貓頭鷹",2019,"9789862623886",375.233,"植物圖鑑,臺灣"
,,"仿生設計大未來：人類進步的下一個關鍵"," 阿米娜．汗",,"如果出版社",2019,"9789578567177",440.8,"工業設計,仿生學,生物技術"
,,"海"," 琪雅拉．卡米納提(Chiara Carminati)",,"積木",2017,"9789864590780",,
,,"藍色大樹"," 阿敏‧哈珊扎德‧夏里夫( Amin Hassanzadeh Sharif)",,"大塊文化",2018,"9789862138588",,
,,"暗夜的螃蟹"," 魏樂富( Rolf-Peter Wille)",,"玉山社",2019,"9789862942383",,
